scala/collection/immutable/List::head()Ljava/lang/Object; from scala/tools/nsc/transform/patmat/MatchApproximation$MatchApproximator$TreeMakersToProps::$anonfun$approximateMatch$1,12421
scala/collection/immutable/Range::isEmpty()Z from scala/reflect/internal/BaseTypeSeqs$BaseTypeSeq::maxDepthOfElems,10286
scala/collection/immutable/$colon$colon::<init>(Ljava/lang/Object;Lscala/collection/immutable/List;)V from scala/tools/nsc/transform/LambdaLift$LambdaLifter::addFreeParams,1491
scala/collection/immutable/Vector::map(Lscala/Function1;Lscala/collection/generic/CanBuildFrom;)Ljava/lang/Object; from sbt/librarymanagement/RichUpdateReport::$anonfun$moduleReportMap$1,72
scala/collection/immutable/List::head()Ljava/lang/Object; from scala/tools/nsc/typechecker/Typers$Typer::reenterTypeParams,1190
scala/collection/mutable/ListBuffer$::empty()Lscala/collection/GenTraversable; from scala/reflect/internal/transform/UnCurry$$anon$3::apply,2143
scala/collection/immutable/List::tail()Ljava/lang/Object; from scala/tools/nsc/typechecker/Infer$Inferencer::inferTypedPattern,28
scala/collection/immutable/List::isEmpty()Z from sbt/internal/util/Init$Apply::validateKeyReferenced,16554
scala/collection/mutable/HashMap::toMap(Lscala/Predef$$less$colon$less;)Lscala/collection/immutable/Map; from sbt/internal/BuildUtil$::dependencies,10
scala/collection/Seq::map(Lscala/Function1;Lscala/collection/generic/CanBuildFrom;)Ljava/lang/Object; from sbt/internal/DetectedPlugins::imports$lzycompute,2
scala/collection/immutable/List::head()Ljava/lang/Object; from scala/reflect/internal/Trees$TreeSymSubstituter::subst$2,34537
scala/collection/immutable/List::isEmpty()Z from scala/tools/nsc/ast/parser/Parsers$Parser::selfInvocation,92
scala/collection/immutable/$colon$colon::tl_$eq(Lscala/collection/immutable/List;)V from scala/tools/nsc/transform/patmat/MatchOptimization$SwitchEmission$SwitchMaker::apply,506
scala/collection/immutable/List::$colon$colon(Ljava/lang/Object;)Lscala/collection/immutable/List; from scala/tools/nsc/typechecker/Macros::calculateMacroArgs$1,2
scala/collection/Seq$::canBuildFrom()Lscala/collection/generic/CanBuildFrom; from sbt/internal/librarymanagement/IvySbt$::hasDuplicateDependencies,4
scala/collection/Seq::size()I from sbt/internal/librarymanagement/IvySbt$::$anonfun$inconsistentDuplicateWarning$4,2
scala/collection/immutable/Set$::canBuildFrom()Lscala/collection/generic/CanBuildFrom; from scala/tools/nsc/transform/patmat/Solving$CNF$SymbolMapping::<init>,3477
scala/collection/mutable/ArrayBuffer::size()I from scala/tools/nsc/Global$Run$SyncedCompilationBuffer::size,12578
scala/collection/immutable/$colon$colon::tl_$eq(Lscala/collection/immutable/List;)V from scala/tools/nsc/typechecker/Unapplies::caseClassCopyMeth,244
scala/collection/immutable/List::isEmpty()Z from scala/tools/nsc/backend/jvm/BCodeBodyBuilder$PlainBodyBuilder::genArrayValue,1482
scala/collection/mutable/HashMap::update(Ljava/lang/Object;Ljava/lang/Object;)V from scala/tools/nsc/symtab/classfile/ClassfileParser$innerClasses$::add,2368
scala/collection/immutable/List::tail()Ljava/lang/Object; from scala/tools/nsc/typechecker/Typers$Typer::$anonfun$needsInstantiation$1,308
scala/collection/immutable/Set::size()I from sbt/internal/Index$$anonfun$2::applyOrElse,1578
scala/collection/immutable/$colon$colon::tl_$eq(Lscala/collection/immutable/List;)V from scala/reflect/internal/tpe/GlbLubs::$anonfun$lubList$1,176
scala/collection/mutable/ListBuffer::toList()Lscala/collection/immutable/List; from scala/tools/nsc/symtab/classfile/ClassfileParser::parseAnnotation$1,944
scala/collection/immutable/$colon$colon::tl_$eq(Lscala/collection/immutable/List;)V from scala/reflect/api/Trees$Transformer::transformValDefss,19124
scala/collection/immutable/List$::canBuildFrom()Lscala/collection/generic/CanBuildFrom; from scala/tools/nsc/typechecker/Namers$Namer::templateSig,1339
scala/collection/Seq::filter(Lscala/Function1;)Ljava/lang/Object; from sbt/BuildCommon::overrideConfigs,3
